Data Sorteio;Bola1;Bola2;Bola3;Bola4;Bola5;;;;;;;;;;;;;;
23/05/1996;4;9;31;40;58;;;;;;;;;;;;;;
26/05/1996;1;10;36;62;64;;;;;;;;;;;;;;
30/05/1996;5;7;12;16;66;;;;;;;;;;;;;;
02/06/1996;3;24;48;52;71;;;;;;;;;;;;;;
09/06/1996;26;37;61;67;71;;;;;;;;;;;;;;
13/06/1996;10;14;32;53;61;;;;;;;;;;;;;;
16/06/1996;3;11;19;31;39;;;;;;;;;;;;;;
20/06/1996;38;46;50;65;69;;;;;;;;;;;;;;
23/06/1996;5;13;14;34;63;;;;;;;;;;;;;;
27/06/1996;10;19;24;34;72;;;;;;;;;;;;;;
30/06/1996;37;46;49;62;73;;;;;;;;;;;;;;
04/07/1996;31;32;34;54;59;;;;;;;;;;;;;;
07/07/1996;8;41;56;65;74;;;;;;;;;;;;;;
11/07/1996;17;26;31;33;63;;;;;;;;;;;;;;
14/07/1996;3;19;32;59;63;;;;;;;;;;;;;;
18/07/1996;19;35;38;39;78;;;;;;;;;;;;;;
21/07/1996;45;69;72;77;79;;;;;;;;;;;;;;
25/07/1996;3;24;27;58;69;;;;;;;;;;;;;;
28/07/1996;10;21;43;64;68;;;;;;;;;;;;;;
01/08/1996;18;41;58;62;73;;;;;;;;;;;;;;
04/08/1996;16;34;37;42;70;;;;;;;;;;;;;;
08/08/1996;17;24;50;56;66;;;;;;;;;;;;;;
11/08/1996;19;23;32;38;61;;;;;;;;;;;;;;
15/08/1996;12;23;50;52;55;;;;;;;;;;;;;;
18/08/1996;7;60;62;67;74;;;;;;;;;;;;;;
22/08/1996;14;27;41;68;78;;;;;;;;;;;;;;
25/08/1996;3;28;41;58;75;;;;;;;;;;;;;;
29/08/1996;27;34;35;42;62;;;;;;;;;;;;;;
01/09/1996;49;55;56;68;71;;;;;;;;;;;;;;
05/09/1996;27;29;34;64;73;;;;;;;;;;;;;;
08/09/1996;17;27;35;54;76;;;;;;;;;;;;;;
12/09/1996;14;26;51;55;64;;;;;;;;;;;;;;
15/09/1996;14;26;36;37;69;;;;;;;;;;;;;;
19/09/1996;25;27;55;61;69;;;;;;;;;;;;;;
22/09/1996;17;60;67;74;75;;;;;;;;;;;;;;
26/09/1996;30;35;49;51;69;;;;;;;;;;;;;;
29/09/1996;2;16;32;63;67;;;;;;;;;;;;;;
06/10/1996;22;34;36;42;62;;;;;;;;;;;;;;
10/10/1996;2;4;55;60;65;;;;;;;;;;;;;;
13/10/1996;5;8;31;32;41;;;;;;;;;;;;;;
17/10/1996;16;25;27;28;69;;;;;;;;;;;;;;
20/10/1996;22;61;63;66;80;;;;;;;;;;;;;;
24/10/1996;3;5;22;30;60;;;;;;;;;;;;;;
27/10/1996;5;50;56;60;62;;;;;;;;;;;;;;
31/10/1996;9;50;63;67;76;;;;;;;;;;;;;;
03/11/1996;43;51;75;79;80;;;;;;;;;;;;;;
07/11/1996;20;37;46;61;74;;;;;;;;;;;;;;
10/11/1996;8;14;43;65;76;;;;;;;;;;;;;;
17/11/1996;7;21;54;62;77;;;;;;;;;;;;;;
21/11/1996;21;38;52;60;66;;;;;;;;;;;;;;
24/11/1996;11;46;55;75;78;;;;;;;;;;;;;;
28/11/1996;4;6;18;40;74;;;;;;;;;;;;;;
01/12/1996;24;26;37;48;71;;;;;;;;;;;;;;
05/12/1996;3;35;39;63;69;;;;;;;;;;;;;;
08/12/1996;6;21;22;52;74;;;;;;;;;;;;;;
12/12/1996;16;19;21;23;32;;;;;;;;;;;;;;
15/12/1996;2;10;29;33;54;;;;;;;;;;;;;;
19/12/1996;13;61;65;67;79;;;;;;;;;;;;;;
22/12/1996;32;63;66;76;77;;;;;;;;;;;;;;
29/12/1996;23;25;29;52;55;;;;;;;;;;;;;;
05/01/1997;26;37;39;66;71;;;;;;;;;;;;;;
09/01/1997;21;28;51;65;69;;;;;;;;;;;;;;
12/01/1997;8;27;44;66;75;;;;;;;;;;;;;;
16/01/1997;39;51;57;75;76;;;;;;;;;;;;;;
19/01/1997;7;22;23;50;76;;;;;;;;;;;;;;
23/01/1997;14;21;33;34;45;;;;;;;;;;;;;;
26/01/1997;3;11;24;54;65;;;;;;;;;;;;;;
30/01/1997;3;14;22;32;41;;;;;;;;;;;;;;
02/02/1997;13;15;25;39;44;;;;;;;;;;;;;;
06/02/1997;15;52;55;62;79;;;;;;;;;;;;;;
09/02/1997;13;22;29;68;72;;;;;;;;;;;;;;
16/02/1997;13;17;23;49;71;;;;;;;;;;;;;;
20/02/1997;26;32;38;68;72;;;;;;;;;;;;;;
23/02/1997;5;10;21;51;58;;;;;;;;;;;;;;
27/02/1997;2;20;39;53;60;;;;;;;;;;;;;;
02/03/1997;16;18;46;56;80;;;;;;;;;;;;;;
06/03/1997;23;41;46;53;71;;;;;;;;;;;;;;
09/03/1997;20;48;50;75;76;;;;;;;;;;;;;;
13/03/1997;25;46;52;61;74;;;;;;;;;;;;;;
16/03/1997;9;23;56;64;73;;;;;;;;;;;;;;
20/03/1997;7;13;37;56;64;;;;;;;;;;;;;;
23/03/1997;2;18;64;67;77;;;;;;;;;;;;;;
30/03/1997;11;28;60;61;71;;;;;;;;;;;;;;
03/04/1997;2;13;27;78;80;;;;;;;;;;;;;;
06/04/1997;4;69;70;72;80;;;;;;;;;;;;;;
10/04/1997;5;6;55;70;73;;;;;;;;;;;;;;
13/04/1997;5;34;45;49;58;;;;;;;;;;;;;;
17/04/1997;4;42;67;74;75;;;;;;;;;;;;;;
20/04/1997;4;41;49;55;80;;;;;;;;;;;;;;
27/04/1997;17;20;43;68;74;;;;;;;;;;;;;;
04/05/1997;10;20;29;65;76;;;;;;;;;;;;;;
08/05/1997;1;21;50;55;68;;;;;;;;;;;;;;
11/05/1997;25;52;53;58;78;;;;;;;;;;;;;;
15/05/1997;6;17;31;40;66;;;;;;;;;;;;;;
18/05/1997;11;25;29;52;53;;;;;;;;;;;;;;
22/05/1997;8;19;20;28;34;;;;;;;;;;;;;;
25/05/1997;44;46;53;59;65;;;;;;;;;;;;;;
01/06/1997;7;30;51;52;69;;;;;;;;;;;;;;
05/06/1997;28;48;50;64;71;;;;;;;;;;;;;;
08/06/1997;3;22;42;71;79;;;;;;;;;;;;;;
12/06/1997;6;16;31;36;53;;;;;;;;;;;;;;
15/06/1997;9;28;34;40;42;;;;;;;;;;;;;;
19/06/1997;10;27;29;61;66;;;;;;;;;;;;;;
22/06/1997;13;14;16;21;69;;;;;;;;;;;;;;
26/06/1997;16;26;37;40;62;;;;;;;;;;;;;;
29/06/1997;1;14;49;71;74;;;;;;;;;;;;;;
03/07/1997;29;46;53;63;68;;;;;;;;;;;;;;
06/07/1997;6;29;36;44;68;;;;;;;;;;;;;;
10/07/1997;28;30;54;67;74;;;;;;;;;;;;;;
13/07/1997;7;10;18;57;74;;;;;;;;;;;;;;
17/07/1997;12;19;33;44;67;;;;;;;;;;;;;;
20/07/1997;27;28;50;65;76;;;;;;;;;;;;;;
24/07/1997;2;8;36;45;64;;;;;;;;;;;;;;
27/07/1997;22;26;34;39;40;;;;;;;;;;;;;;
31/07/1997;1;21;33;39;48;;;;;;;;;;;;;;
03/08/1997;3;4;7;14;39;;;;;;;;;;;;;;
07/08/1997;18;21;23;54;74;;;;;;;;;;;;;;
10/08/1997;10;25;33;43;68;;;;;;;;;;;;;;
14/08/1997;32;34;52;68;73;;;;;;;;;;;;;;
17/08/1997;42;56;61;76;79;;;;;;;;;;;;;;
21/08/1997;2;7;9;27;59;;;;;;;;;;;;;;
24/08/1997;5;6;12;50;61;;;;;;;;;;;;;;
28/08/1997;3;10;35;47;59;;;;;;;;;;;;;;
31/08/1997;17;23;52;70;71;;;;;;;;;;;;;;
04/09/1997;7;12;36;39;50;;;;;;;;;;;;;;
07/09/1997;6;7;9;36;45;;;;;;;;;;;;;;
11/09/1997;53;57;62;70;78;;;;;;;;;;;;;;
14/09/1997;24;25;34;50;65;;;;;;;;;;;;;;
19/09/1997;1;3;18;46;64;;;;;;;;;;;;;;
21/09/1997;15;20;23;78;79;;;;;;;;;;;;;;
25/09/1997;9;16;20;34;53;;;;;;;;;;;;;;
28/09/1997;42;54;55;70;74;;;;;;;;;;;;;;
02/10/1997;1;20;40;42;75;;;;;;;;;;;;;;
05/10/1997;3;7;10;23;43;;;;;;;;;;;;;;
09/10/1997;2;3;45;49;60;;;;;;;;;;;;;;
12/10/1997;4;6;35;64;65;;;;;;;;;;;;;;
16/10/1997;27;32;54;57;80;;;;;;;;;;;;;;
19/10/1997;1;9;51;59;74;;;;;;;;;;;;;;
23/10/1997;13;16;18;21;36;;;;;;;;;;;;;;
26/10/1997;4;27;44;61;71;;;;;;;;;;;;;;
30/10/1997;21;22;40;51;74;;;;;;;;;;;;;;
02/11/1997;14;35;53;64;77;;;;;;;;;;;;;;
06/11/1997;16;25;27;33;74;;;;;;;;;;;;;;
09/11/1997;14;22;24;59;72;;;;;;;;;;;;;;
13/11/1997;15;23;25;29;71;;;;;;;;;;;;;;
16/11/1997;6;18;42;56;72;;;;;;;;;;;;;;
20/11/1997;12;36;38;50;53;;;;;;;;;;;;;;
23/11/1997;2;28;51;53;77;;;;;;;;;;;;;;
27/11/1997;1;21;46;56;79;;;;;;;;;;;;;;
30/11/1997;3;16;32;37;50;;;;;;;;;;;;;;
04/12/1997;8;22;48;59;76;;;;;;;;;;;;;;
